id,name,brand,price,description,image_url
1,MacBook Air M2,Apple,200000,Ultra-thin laptop with Apple's M2 chip and Retina display.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/8504182/1.jpg?1503
2,Dell XPS 13,Dell,50000,Premium ultrabook with a 13.4-inch InfinityEdge display.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/1779762/1.jpg?9653
3,HP Spectre x360,HP,190000,Convertible 2-in-1 laptop with touchscreen and stylus support.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/8042562/1.jpg?2551
4,Asus ROG Zephyrus G15,Asus,78000,Gaming laptop with Ryzen 9 and RTX 3070 GPU.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/8400072/1.jpg?0294
5,Lenovo ThinkPad X1 Carbon,Lenovo,90000,Business laptop with lightweight carbon fiber build.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/0724603/1.jpg?6385
6,Samsung Galaxy S22 Ultra,Samsung,150000,Flagship phone with a 108MP camera and S-Pen.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/25/0180872/1.jpg?4712
7,iPhone 14 Pro,Apple,200000,Apple's latest iPhone with a 48MP camera and Dynamic Island.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/9356662/1.jpg?8092
8,Google Pixel 7 Pro,Google,45000,Google AI-powered smartphone with an advanced camera.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/6629762/1.jpg?4994
9,OnePlus 11,OnePlus,67000,Flagship OnePlus phone with Snapdragon 8 Gen 2.,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/5322303/1.jpg?4895
10,Xiaomi Mi 13,Xiaomi,99000,High-performance smartphone with Leica cameras.,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9418472/1.jpg?0329
11,Sony Bravia OLED A80K,Sony,56000,4K OLED TV with HDR and high refresh rate.,https://marvelafrica.co.ke/wp-content/uploads/2024/03/sony-a80k-55-inch-ultra-hd-4k-smart-oled-139-cm-xr55a80k.jpeg
12,LG C2 OLED,LG,88000,Best OLED TV for movies and gaming with Dolby Vision.,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/7149632/1.jpg?8645
